c1,c2
6.8728046,10.479418
12.468398,9.524771
13.227807,-4.679126
11.039043,-4.9580564
10.189272,-4.373547
5.4789577,9.70497
13.291535,5.030407
5.9229016,13.752859
15.900709,-0.22530119
11.669389,-5.742953
8.411811,11.953071
0.040237986,2.076343
11.328774,-6.4585123
14.623388,8.980967
0.15507701,10.567902
4.2502866,14.391837
10.5239935,8.112053
15.700607,4.170879
4.356337,12.0142355
13.6477,4.470147
13.386754,2.5426927
-0.37619892,0.15540509
1.1254717,0.6998674
10.051842,-7.114643
11.356278,14.030258
1.3454317,-4.7573495
3.6092672,10.192039
15.424224,8.813286
9.084359,14.388669
3.926878,13.041748
2.2096293,-6.7874393
15.444605,1.2236791
-0.027855748,3.2686663
4.101124,12.462042
-6.3972807,4.0947948
12.771027,-2.2670908
14.315042,4.6522665
12.998525,-5.9161725
0.9556308,6.4362707
13.290795,8.314847
2.9341137,13.287117
9.131834,12.118822
13.144228,13.097785
10.718349,13.361836
3.813986,13.67413
0.25485826,-4.1119485
2.426507,12.7542305
8.580171,13.604691
11.611334,-1.1480072
10.188916,9.712485
8.216475,13.294675
1.6407632,12.08789
14.184171,-0.69617826
4.652724,12.479695
11.500693,12.354382
7.8235135,12.635438
12.7069235,12.146557
12.509386,-3.5565243
2.1793516,-6.644288
0.60594845,4.631641
5.368244,14.454181
11.635677,0.30899647
10.570745,14.679513
2.9697597,10.604685
6.041753,13.758654
13.545669,11.369277
12.904546,13.056406
15.505735,8.98488
14.750934,0.5232245
0.8195583,-2.3768995
10.921031,13.615879
15.133316,8.9939165
6.8746223,11.477689
15.401685,8.82559
11.319135,11.299073
8.793832,-6.919713
-0.39056158,-0.9638324
14.010611,-1.5205466
5.4537644,12.269196
13.213319,9.742188
13.925285,-4.4211516
12.531989,10.26857
9.422464,-4.2506285
10.284961,12.715502
0.64683115,6.652108
1.81441,-0.32041055
13.855389,-0.013233844
-0.1422312,9.5619955
14.358243,10.224225
10.684847,-4.5330544
12.936926,-6.2049294
1.6823857,12.725203
2.1862283,8.546902
8.642021,12.564802
7.3697248,11.82009
14.803537,10.017438
7.5610223,13.544714
9.561974,14.479954
4.632696,12.240295
14.364152,4.6902595
9.65486,13.24132
0.61991155,10.461133
1.2859634,8.926695
-0.021426376,5.5519733
4.8299713,10.889767
1.2322378,8.869204
1.1852182,10.091555
-0.12598301,5.0003138
0.46955088,10.712602
6.852036,14.934855
11.937869,8.8515
15.277106,9.764451
2.388884,-7.4347725
13.177847,-0.44837525
1.3248746,11.3769245
13.895957,0.4061989
11.389882,-3.0587122
-0.45700368,9.604727
12.228397,-7.0277534
1.674734,-3.9524622
12.590606,12.996337
5.534022,14.746113
12.064182,-0.5821424
9.70193,13.994187
15.226313,8.079046
2.2120056,11.378306
8.855379,15.017466
11.967584,-4.4828634
10.606119,9.733005
8.686752,13.245778
9.261765,13.058224
15.338007,2.9002717
3.4578173,12.87957
6.10791,12.918529
11.836634,12.0840025
13.815052,-2.8073685
11.66605,-6.778836
5.671885,9.505123
11.135907,-2.4989073
10.736609,12.686148
7.2632747,11.202928
8.851123,12.718617
11.609845,-6.755357
12.456318,-3.1612024
4.9454017,12.4902115
14.350993,9.221067
12.660281,-5.7265816
1.3469135,-6.0245523
8.143731,14.608005
12.328502,-1.9874725
